product_name,price,image_url,category_name,receive_date,expiry_date,status,quantity
โลตัส ทุเรียนหมอนทอง กก. ละ (ชั่งน้ำหนักขายทั้งลูก),159.00/กก.,https://o2o-static.lotuss.com/products/107654/51332422.jpg,ผลไม้,,2026-03-08,normal,0
องุ่นแดงไร้เมล็ด ออสเตรเลีย 700 กรัม แพ็คละ,119.00,https://o2o-static.lotuss.com/products/107654/75580956.jpg,ผลไม้,,2026-03-09,normal,0
องุ่นเขียวไร้เมล็ด ออสเตรเลีย 700 กรัม แพ็คละ,119.00,https://o2o-static.lotuss.com/products/107654/75580957.jpg,ผลไม้,,2026-03-01,normal,0
จินดา กะปิหวาน,49.00,https://o2o-static.lotuss.com/products/107654/75562369.jpg,ผลไม้,,2026-03-06,normal,0
จินดา น้ำปลาหวาน สูตรเผ็ด,49.00,https://o2o-static.lotuss.com/products/107654/75562368.jpg,ผลไม้,,2026-03-07,normal,0
จินดา น้ำปลาหวาน,49.00,https://o2o-static.lotuss.com/products/107654/75562367.jpg,ผลไม้,,2026-03-09,normal,0
กิ๊ฟต์เซ็ตแอปเปิ้ลเอนวี่มงคล 6 ลูก แพ็คละ,299.00,https://o2o-static.lotuss.com/products/107654/75573608.jpg,ผลไม้,,2026-03-03,normal,0
ส้มซูโม่ แพ็คละ,99.00,https://o2o-static.lotuss.com/products/107654/75625538.jpg,ผลไม้,,2026-03-04,normal,0
องุ่นแดงนอก 700 กรัม แพ็คละ,109.00,https://o2o-static.lotuss.com/products/107654/75591551.jpg,ผลไม้,,2026-03-02,normal,0
โลตัส ส้มโอทับทิมสยามปากพนัง ลูกละ,99.00,https://o2o-static.lotuss.com/products/107654/75613870.jpg,ผลไม้,,2026-03-07,normal,0
มะละกอฮอล์แลนด์ กก.ละ,55.00/กก.,https://o2o-static.lotuss.com/products/107654/72586796.jpg,ผลไม้,,2026-03-08,normal,0
โลตัส สับปะรดปัตตาเวีย ลูกละ,29.00,https://o2o-static.lotuss.com/products/107654/5061.jpg,ผลไม้,,2026-03-01,normal,0
